spref_name,ncaa_name,espn_name,conference,primary_color,secondary_color,tertiary_color,color_4,color_5,color_6
San Diego,San Diego,San Diego,WCC,#002868,#84BCE8,#207BC1,,,
San Diego St.,San Diego St.,San Diego State,MWC,#A6192E,#000000,#FFFFFF,,,
San Francisco,San Francisco,San Francisco,WCC,#FDBB30,#00543C,#919194,,,
San Jose St.,San Jose St.,San Jose State,MWC,#0055A2,#E5A823,#939597,,,
Santa Clara,Santa Clara,Santa Clara,WCC,#862633,#FFFFFF,,,,
Seattle U,Seattle U,Seattle,WAC,#AA0000,#333333,,,,
Seton Hall,Seton Hall,Seton Hall,Big East,#004488,#A2AAAD,,,,
Siena,Siena,Siena,MAAC,#FFC72C,#C8102E,#006747,#693F23,,
South Alabama,South Alabama,South Alabama,Sunbelt,#00205B,#BF0D3E,,,,
South Carolina,South Carolina,South Carolina,SEC,#73000A,#000000,,,,
South Dakota,South Dakota,South Dakota,Summit,#AD0000,#B4B4B4,#000000,,,
South Dakota State,South Dakota St.,South Dakota St,Summit,#0033A0,#FFD100,,,,
South Fla.,South Fla.,USF,AAC,#006747,#CFC493,,,,
USC,Southern California,USC,Pac 12,#990000,#FFC72C,,,,
Southern Ill.,Southern Ill.,S Illinois,MVC,#720000,#000000,,,,
Southern Miss.,Southern Miss.,Southern Miss,C-USA,#000000,#FFAB00,,,,
Southern Utah,Southern Utah,Southern Utah,Big Sky,#000000,#FFFFFF,,,,
St. Bonaventure,St. Bonaventure,St Bonaventure,A-10,#54261A,#FDB726,#BDB6B0,,,
St. John's (NY),St. John's (NY),St John's,Big East,#BA0C2F,#041C2C,#A7A8AA,,,
Stanford,Stanford,Stanford,Pac 12,#8C1515,#4D4F53,#2E2D29,#007662,,
Stetson,Stetson,Stetson,A-Sun,#006747,#B58150,#9E652E,#000000,,
Stony Brook,Stony Brook,Stony Brook,Am. East,#990000,#16243E,#828282,,,
Syracuse,Syracuse,Syracuse,ACC,#D44500,#3E3D3C,#6F777D,#ADB3B8,#3E3D3C,#0D1D37
TCU,TCU,TCU,Big 12,#4D1979,#A3A9AC,#FFFFFF,,,
Temple,Temple,Temple,AAC,#9D2235,#FFCD00,#8A8D8F,#C1C6C8,#000000,
Tennessee,Tennessee,Tennessee,SEC,#FF8200,#58595B,#FFFFFF,,,
Texas,Texas,Texas,Big 12,#BF5700,#333F48,#FFFFFF,,,
Texas A&M,Texas A&M,Texas A&M,SEC,#500000,#FFFFFF,,,,
Texas St.,Texas St.,Texas State,Sunbelt,#501214,#8D734A,,,,
Texas Tech,Texas Tech,Texas Tech,Big 12,#CC0000,#000000,#FFFFFF,,,
Toledo,Toledo,Toledo,MAC,#15397F,#005CB9,#FFDA00,#BEC6C3,#A0ACAA,#000000
Tulane,Tulane,Tulane,AAC,#006747,#43B02A,#418FDE,#000000,,
Tulsa,Tulsa,Tulsa,AAC,#002D72,#C8102E,#C5B783,#F3D54E,#84754E,
UAB,UAB,UAB,C-USA,#006341,#CC8A00,#000000,#BF0D3E,,
UC Davis,UC Davis,UC Davis,Big West,#002855,#B3A369,,,,
UC Irvine,UC Irvine,UC Irvine,Big West,#0C2340,#FFC72C,,,,
UC Riverside,UC Riverside,UC Riverside,Big West,#2D6CC0,#003066,#F1AB00,#7A6E67,#000000,
UCLA,UCLA,UCLA,Pac 12,#F2A900,#FFE800,,,,
UIC,UIC,UIC,Horizon,#AC1E2D,#041E42,#FACC09,,,
UMass Lowell,UMass Lowell,UMass Lowell,Am. East,#003DA5,#C8102E,,,,
UMBC,UMBC,UMBC,Am. East,#B18906,#FFC20E,#000000,#ED1C24,,
UMKC,UMKC,UMKC,WAC,#005293,#FECB00,#000000,#DCDDDE,,
Northern Iowa,UNI,Northern Iowa,MVC,#4B116F,#FFCC00,,,,
UNLV,UNLV,UNLV,MWC,#B10202,#666666,#000000,,,
USC Upstate,USC Upstate,USC Upstate,Big South,#00703C,#000000,,,,
UT Arlington,UT Arlington,UT Arlington,Sunbelt,#F58025,#0064B1,,,,
Utah,Utah,Utah,Pac 12,#CC0000,#808080,#000000,,,
Utah St.,Utah St.,Utah State,MWC,#0F2439,#FFFFFF,#9D968D,#000000,,
Utah Valley,Utah Valley,Utah Valley,WAC,#275D38,#000000,#8E8C89,,,
UTEP,UTEP,UTEP,C-USA,#FF8200,#041E42,#B1B3B3,,,
UTRGV,UTRGV,UT Rio Grande,WAC,#FFA300,#F05023,#00843D,#0C2340,,
UTSA,UTSA,UTSA,C-USA,#F15A22,#0C2340,,,,
Valparaiso,Valparaiso,Valparaiso,MVC,#381E0E,#613318,#FFCC00,,,
Vanderbilt,Vanderbilt,Vanderbilt,SEC,#000000,#866D4B,,,,
VCU,VCU,VCU,A-10,#FFB300,#000000,,,,
Vermont,Vermont,Vermont,Am. East,#154734,#8B5B29,#FFC72C,#C6AA76,#FF6A13,#000000
Villanova,Villanova,Villanova,Big East,#00205B,#13B5EA,#8B634B,,,
Virginia,Virginia,UVA,ACC,#232D4B,#F84C1E,#FFFFFF,,,
Virginia Tech,Virginia Tech,Virginia Tech,ACC,#630031,#CF4420,,,,
Wake Forest,Wake Forest,Wake Forest,ACC,#A67F31,#000000,,,,
Washington,Washington,Washington,Pac 12,#4B2E83,#B7A57A,#85754D,,,
Washington St.,Washington St.,Washington St,Pac 12,#981E32,#5E6A71,,,,
Weber State,Weber St.,Weber State,Big Sky,#A1A1A4,#130C0E,,,,
West Virginia,West Virginia,West Virginia,Big 12,#002855,#EAAA00,,,,
Western Ill.,Western Ill.,W Illinois,Summit,#663399,#FFCC00,,,,
Western Ky.,Western Ky.,W Kentucky,C-USA,#C60C30,#1E1E1E,#A2A4A3,,,
Western Mich.,Western Mich.,W Michigan,MAC,#6C4023,#B5A167,#AAA8AA,#000000,,
Wichita St.,Wichita St.,Wichita State,AAC,#FFCD00,#000000,,,,
Wisconsin,Wisconsin,Wisconsin,Big 10,#C5050C,#9B0000,,,,
Wright St.,Wright St.,Wright State,Horizon,#026937,#CEA052,#FFE1A5,#DE6328,,
Wyoming,Wyoming,Wyoming,MWC,#FFC425,#492F24,,,,
Xavier,Xavier,Xavier,Big East,#0C2340,#9EA2A2,#0099CC,,,
Yale,Yale,Yale,Ivy,#00356B,#FFFFFF,,,,
Youngstown State,Youngstown St.,Youngstown St,Horizon,#C8102E,#F3D54E,,,,
